#hg19.ensGene.name	hg19.ensGene.chrom	hg19.ensGene.strand	hg19.ensGene.txStart	hg19.ensGene.txEnd	hg19.ensGene.cdsStart	hg19.ensGene.cdsEnd	hg19.ensGene.exonCount	hg19.ensGene.exonStarts	hg19.ensGene.exonEnds	hg19.ensemblToGeneName.value
ENST00000414877	chr21	-	33452628	33570125	33570125	33570125	4	33452628,33458516,33528719,33570086,	33452830,33458608,33528814,33570125,	LINC00159
ENST00000400454	chr21	-	41382925	42219065	41384960	42218587	33	41382925,41414297,41416004,41423884,41427651,41434795,41446963,41450613,41452078,41455834,41457528,41459096,41465647,41496121,41505780,41514484,41516417,41539144,41550853,41559057,41559817,41560968,41648023,41667981,41684007,41710027,41711045,41719596,41725391,41741025,42064735,42080379,42218544,	41385313,41414600,41416202,41424034,41427767,41434826,41447140,41450904,41452267,41455933,41457692,41459214,41465801,41496255,41505936,41514631,41516658,41539215,41551021,41559186,41559914,41561165,41648197,41668101,41684286,41710303,41711342,41719872,41725670,41741172,42064882,42080697,42219065,	DSCAM
ENST00000463099	chr21	+	15646412	15735075	15735075	15735075	28	15646412,15651916,15659870,15660724,15663890,15671758,15674395,15676543,15678016,15680691,15680873,15681292,15685264,15688521,15689793,15695832,15709500,15710101,15717476,15720336,15724949,15725874,15727361,15730051,15731470,15733160,15734352,15734972,	15646478,15651978,15660018,15660867,15664068,15672002,15674461,15676681,15678163,15680776,15680940,15681419,15685441,15688689,15689956,15695908,15709561,15710321,15717631,15720492,15725149,15726001,15727463,15730195,15731630,15733324,15734547,15735075,	ABCC13
ENST00000458468	chr21	+	17442841	17982094	17982094	17982094	8	17442841,17443433,17553910,17603375,17859809,17909698,17966659,17979313,	17442868,17443718,17554007,17603435,17859858,17909759,17966774,17982094,	LINC00478
ENST00000602580	chr21	+	17442841	17859828	17859828	17859828	6	17442841,17443433,17553910,17603375,17763933,17859809,	17442868,17443718,17554007,17603435,17764005,17859828,	LINC00478
ENST00000602935	chr21	+	17442852	17859814	17859814	17859814	6	17442852,17443433,17553910,17603375,17763933,17859809,	17442887,17443718,17554007,17603435,17764005,17859814,	LINC00478
ENST00000400178	chr21	+	17443433	17979450	17979450	17979450	6	17443433,17553910,17603375,17763933,17859809,17979313,	17443718,17554007,17603435,17764005,17859858,17979450,	LINC00478
ENST00000456342	chr21	+	17443552	17979456	17979456	17979456	7	17443552,17553910,17603375,17763933,17859809,17909698,17979313,	17443718,17554007,17603435,17764005,17859858,17909759,17979456,	LINC00478
ENST00000428669	chr21	+	17553910	17979438	17979438	17979438	7	17553910,17603375,17763933,17859809,17909698,17966659,17979313,	17554007,17603435,17764005,17859858,17909759,17966774,17979438,	LINC00478
ENST00000419952	chr21	+	17566698	17894124	17894124	17894124	5	17566698,17603375,17763933,17859809,17894038,	17566953,17603435,17764005,17859858,17894124,	LINC00478
ENST00000445461	chr21	+	17566714	17979542	17979542	17979542	6	17566714,17603375,17763933,17859809,17909698,17979313,	17566953,17603435,17764005,17859858,17909759,17979542,	LINC00478
ENST00000602505	chr21	+	17566884	17859857	17859857	17859857	3	17566884,17763933,17859809,	17566953,17764005,17859857,	LINC00478
ENST00000602901	chr21	+	17603398	17979450	17979450	17979450	5	17603398,17763933,17859809,17909698,17979313,	17603435,17764005,17859858,17909759,17979450,	LINC00478
ENST00000602339	chr21	+	17702924	17979588	17979588	17979588	5	17702924,17763933,17859809,17909698,17979313,	17703032,17764005,17859858,17909759,17979588,	LINC00478
ENST00000602892	chr21	+	17791647	17979471	17979471	17979471	3	17791647,17859809,17979313,	17792061,17859858,17979471,	LINC00478
ENST00000418813	chr21	+	17791721	17985800	17985800	17985800	5	17791721,17859809,17909698,17979313,17985768,	17792061,17859858,17909759,17979407,17985800,	LINC00478
ENST00000435697	chr21	+	17791751	17860215	17860215	17860215	2	17791751,17859809,	17792061,17860215,	LINC00478
ENST00000453910	chr21	+	17791837	17979423	17979423	17979423	5	17791837,17859809,17909698,17966659,17979313,	17792061,17859858,17909759,17966774,17979423,	LINC00478
ENST00000602620	chr21	+	17792774	17979457	17979457	17979457	4	17792774,17859809,17909698,17979313,	17792892,17859858,17909759,17979457,	LINC00478
ENST00000441009	chr21	+	26212863	26430059	26430059	26430059	4	26212863,26217092,26402096,26427746,	26213042,26217243,26402172,26430059,	AP000235.2
ENST00000357903	chr21	-	27252860	27543105	27253980	27542938	17	27252860,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27372329,27394155,27423315,27425551,27462258,27484295,27542881,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27372497,27394358,27423509,27425664,27462388,27484463,27543105,	APP
ENST00000348990	chr21	-	27252860	27543085	27253980	27542938	16	27252860,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27394155,27423315,27425551,27462258,27484295,27542881,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27394358,27423509,27425664,27462388,27484463,27543085,	APP
ENST00000354192	chr21	-	27252860	27543065	27253980	27542938	15	27252860,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27394155,27423315,27425551,27462258,27542881,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27394358,27423509,27425664,27462388,27543065,	APP
ENST00000346798	chr21	-	27252860	27542972	27253980	27542938	18	27252860,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27369674,27372329,27394155,27423315,27425551,27462258,27484295,27542881,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27369731,27372497,27394358,27423509,27425664,27462388,27484463,27542972,	APP
ENST00000359726	chr21	-	27252861	27543138	27253980	27542938	17	27252861,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27369674,27394155,27423315,27425551,27462258,27484295,27542881,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27369731,27394358,27423509,27425664,27462388,27484463,27543138,	APP
ENST00000358918	chr21	-	27252861	27543138	27253980	27542938	17	27252861,27264033,27269884,27284052,27326903,27327940,27347382,27348266,27354656,27369674,27372329,27394155,27423315,27425551,27462258,27484295,27542881,	27254082,27264180,27269985,27284274,27327003,27328069,27347541,27348341,27354790,27369731,27372497,27394358,27423509,27425664,27462388,27484463,27543138,	APP
ENST00000448388	chr21	-	27253637	27543446	27253980	27484415	16	27253637,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27394155,27423315,27425551,27462258,27484295,27543302,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27394358,27423509,27425664,27462388,27484463,27543446,	APP
ENST00000440126	chr21	-	27253641	27512778	27253980	27512512	17	27253641,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27372329,27394155,27423315,27425551,27462258,27484295,27512470,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27372497,27394358,27423509,27425664,27462388,27484463,27512778,	APP
ENST00000439274	chr21	-	27253642	27542972	27253980	27542938	17	27253642,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27369674,27372329,27394155,27423315,27425551,27462258,27542881,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27369731,27372497,27394358,27423509,27425664,27462388,27542972,	APP
ENST00000464867	chr21	-	27253824	27270295	27270295	27270295	3	27253824,27264033,27269884,	27254082,27264180,27270295,	APP
ENST00000426771	chr21	+	28261694	28312061	28312061	28312061	3	28261694,28282184,28311934,	28261763,28282349,28312061,	AP001601.2
ENST00000284987	chr21	-	28290230	28338832	28296371	28338710	8	28290230,28302204,28304322,28305179,28306784,28315698,28327057,28337606,	28296939,28302380,28304498,28305363,28307068,28315866,28327190,28338832,	ADAMTS5
ENST00000399976	chr21	+	30396949	30426809	30400234	30426508	18	30396949,30400193,30402915,30407157,30408591,30409596,30410655,30411346,30411801,30412929,30414333,30414792,30415743,30418987,30421081,30422412,30426122,30426386,	30397098,30400295,30403094,30407261,30408695,30409784,30410751,30411477,30411889,30413008,30414425,30414849,30415920,30419642,30421176,30422499,30426279,30426809,	USP16
ENST00000399975	chr21	+	30396949	30426809	30400234	30426508	18	30396949,30400193,30402915,30407157,30408591,30409599,30410655,30411346,30411801,30412929,30414333,30414792,30415743,30418987,30421081,30422412,30426122,30426386,	30397098,30400295,30403094,30407261,30408695,30409784,30410751,30411477,30411889,30413008,30414425,30414849,30415920,30419642,30421176,30422499,30426279,30426809,	USP16
ENST00000474835	chr21	+	30396971	30426809	30426809	30426809	17	30396971,30400193,30402915,30407157,30408591,30409596,30410655,30411346,30411801,30412929,30414333,30414792,30418987,30421081,30422412,30426122,30426386,	30397098,30400295,30403094,30407261,30408695,30409784,30410751,30411477,30411889,30413008,30414425,30415920,30419642,30421176,30422499,30426279,30426809,	USP16
ENST00000334352	chr21	+	30396971	30426809	30400234	30426508	19	30396971,30398029,30400193,30402915,30407157,30408591,30409596,30410655,30411346,30411801,30412929,30414333,30414792,30415743,30418987,30421081,30422412,30426122,30426386,	30397098,30398092,30400295,30403094,30407261,30408695,30409784,30410751,30411477,30411889,30413008,30414425,30414849,30415920,30419642,30421176,30422499,30426279,30426809,	USP16
